ponzi,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime
1,501,850,2.915320893831e+21,2.9388861e+21,5.819003780101796e+18,3.4575130588235295e+18,4.5607755310486815e+19,3.844037359031601e+19,0.807663244828916,0.9227176857325396,24139.97705403405,32613109.0
1,882,344,8.920872357e+20,9.167811856500001e+20,1.0114367751700681e+18,2.6650615861918607e+18,5.962170972670381e+17,4.875272226747451e+18,0.06428866485854022,0.23068584056220467,64516.77732463295,79097569.0
1,553,1257,1.1488726043191584e+21,1.3322246303032924e+21,2.0775273134161997e+18,1.0598445746247354e+18,1.0359611238485699e+19,8.066946304730991e+18,0.953324540056778,0.9419142863796913,33620.2182320442,60852595.0
1,84,1197,9.935149206e+19,8.738955155866667e+19,1.1827558578571428e+18,7.30071441592871e+16,1.517714959289221e+18,9.20792837908023e+16,0.4723183251046645,0.5089467322337247,776.391881342701,994558.0
1,618,499,4.361041706528674e+21,4.489177096210887e+21,7.056701790499472e+18,8.996346886194163e+18,3.839546923239393e+18,4.675018843162766e+18,0.2778799418596345,0.2633545647308657,44180.684870188,49349825.0
1,256,361,8.510861166144203e+20,7.881477684293874e+20,3.3245551430250793e+18,2.183234815593871e+18,2.118960121797329e+18,2.6747098571157217e+18,0.32318645216318626,0.6070278186685482,123249.01458670989,76044642.0
1,468,169,5.524423598846355e+21,4.8253165055e+21,1.1804323929158877e+19,2.8552168671597638e+19,2.9241717260267643e+19,6.7658269122355585e+19,0.7879443742477922,0.7918398265792943,182872.15541601257,116489563.0
1,407,143,7.486191042578949e+21,7.437206490112813e+21,1.8393589785206262e+19,5.20084369937959e+19,3.0344556361304252e+19,5.520671565220528e+19,0.7442951217608179,0.5699616167093754,149290.87818181817,82109983.0
1,106,382,1.06e+20,1.1e+20,1e+18,2.8795811518324608e+17,0.0,2.3521554069687194e+17,0.0,0.43207624345549733,4648.665983606557,2268549.0
1,289,168,5.332792875233589e+21,5.303565174761985e+21,1.8452570502538367e+19,3.1568840325964198e+19,2.9332787374216016e+19,5.832515390217797e+19,0.7410115988830503,0.7602334765415012,151150.704595186,69075872.0
1,402,67,1.4154195560579269e+21,1.3630424412117525e+21,3.5209441692983255e+18,2.0343917033011233e+19,1.0753856455776799e+19,3.4319531744164696e+19,0.8698279288034558,0.7211831693213395,209025.8933901919,98033144.0
1,161,199,4.1623410670782395e+20,3.133908851044391e+20,2.585305010607602e+18,1.5748285683640156e+18,7.674927201859229e+18,2.545076133356186e+18,0.8601520472497869,0.7486989714052118,224981.6222222222,80993384.0
1,138,200,8.381527386614845e+20,8.032652621490207e+20,6.073570570010757e+18,4.0163263107451034e+18,1.1056881980073824e+19,1.122498538447769e+19,0.7326722942447937,0.8250041528390267,226520.57396449705,76563954.0
1,25,213,2.210416299389002e+19,4.0102832993890025e+19,8.841665197556009e+17,1.8827621123892032e+17,3.141090168159025e+17,1.3636076514309706e+18,0.11565256759980544,0.6532511174468068,213059.17647058822,50708084.0
1,176,66,1.0368917422750019e+21,8.951777655051999e+20,5.891430353835238e+18,1.3563299477351514e+19,1.1710391680457916e+19,2.080928115665202e+19,0.7834607557017597,0.6952549696260875,317773.2231404959,76901120.0
1,117,112,7e+18,2e+18,5.982905982905983e+16,1.7857142857142858e+16,2.3716986197455744e+17,1.0766474458134058e+17,0.9401709401709402,0.9734933035714285,132589.81659388647,30363068.0
1,161,57,3.0704465679919465e+21,3.072728772820513e+21,1.907109669560215e+19,5.390752233018443e+19,2.6544363245741396e+19,3.909368795075925e+19,0.661179070999591,0.4007285932992345,339785.15596330276,74073164.0
1,81,100,8.66130568072099e+19,8.68165e+19,1.0692969976198752e+18,8.68165e+17,1.3970011568512556e+18,1.32319753290788e+18,0.6417913630176934,0.672717557146395,337377.32596685085,61065296.0
1,162,0,0.0,0.0,0.0,0,0.0,0,0,0,471482.66049382713,76380191.0
1,75,84,1.378600041e+20,1.10910001e+20,1.838133388e+18,1.3203571547619046e+18,3.280892406229291e+18,2.762848546504626e+18,0.6718254879842993,0.8079939211392452,477973.3522012579,75997763.0
1,29,111,2.29e+19,1.8421e+18,7.896551724137932e+17,1.6595495495495496e+16,2.358455781692204e+18,3.3118477973980668e+16,0.8723083872910706,0.7729202521016211,556077.2928571429,77850821.0
1,73,43,2.7391e+20,2.639099948e+20,3.7521917808219177e+18,6.137441739534884e+18,3.7161315305383383e+18,4.2548836688123274e+18,0.531869532188105,0.38044685729436634,47722.26724137931,5535783.0
1,46,68,1.48948e+20,1.502064e+20,3.238e+18,2.2089176470588234e+18,3.9259899886913044e+18,5.837298581106049e+18,0.5517414306247526,0.8423012288032842,411709.6666666667,46934902.0
1,60,46,1.8421177666075531e+19,1.619694811242242e+19,3.070196277679255e+17,3.52107567661357e+17,2.8576178380699414e+17,2.7448532685183942e+17,0.46516338600696355,0.3861409178139216,395565.2641509434,41929918.0
1,29,70,9.955e+19,1.0955e+20,3.4327586206896553e+18,1.565e+18,2.390222751921878e+18,3.194666485812162e+18,0.375600547290393,0.7555521940405556,8068.313131313132,798763.0
1,25,52,2.41506e+19,7.33665e+19,9.66024e+17,1.4108942307692308e+18,1.0611188499993769e+18,3.1715482923240566e+18,0.5903667817776784,0.829125664668794,1075.9610389610389,82849.0
1,34,52,7.88631e+19,8.406e+19,2.3195029411764705e+18,1.6165384615384614e+18,1.8438783981988319e+18,3.027963827529715e+18,0.4155920009410201,0.7893674847636304,884824.7325581395,76094927.0
1,40,48,1.90211217e+20,1.737581039e+20,4.755280425e+18,3.6199604979166664e+18,4.2233609112288635e+18,4.98912090584415e+18,0.4852352559996501,0.6561492712268828,867102.9772727273,76305062.0
1,33,41,8.005559237218191e+19,7.937e+19,2.42592704158127e+18,1.9358536585365855e+18,2.850968061976757e+18,3.345651145642694e+18,0.590561503589321,0.745867609866725,3285.4054054054054,243120.0
1,51,19,8.2436041e+20,7.849504099999998e+20,1.6163929607843138e+19,4.13131794736842e+19,1.8130229040113324e+19,3.878150199695565e+19,0.6003724340453868,0.5201845719816003,16756.557142857142,1172959.0
1,29,36,1.2264400494e+20,1.107133e+20,4.22910361862069e+18,3.0753694444444447e+18,4.4159806622879503e+18,4.766163779930556e+18,0.5186459103102973,0.7020767704612825,2441.630769230769,158706.0
1,23,32,2.1e+20,1.99e+20,9.130434782608695e+18,6.21875e+18,2.8177133471338527e+18,6.804108937803686e+18,0.08695652173913042,0.5325062814070353,1441827.309090909,79300502.0
1,30,23,1.3726454567e+20,1.508254e+20,4.5754848556666665e+18,6.557626086956521e+18,4.2614428772442214e+18,4.639560827906151e+18,0.4894307147541128,0.36814811667346314,273.41509433962267,14491.0
1,14,38,5.367e+19,8.74921e+19,3.8335714285714284e+18,2.3024236842105262e+18,1.281078597295646e+19,4.914325628653342e+18,0.8949799036439618,0.815517088189436,6906.75,359151.0
1,23,28,2.1e+19,1.99e+19,9.130434782608695e+17,7.107142857142857e+17,2.8177133471338525e+17,8.873472849350657e+17,0.08695652173913043,0.5830940416367552,1279488.9411764706,65253936.0
1,17,30,2.03275e+19,2.2811166666666672e+19,1.195735294117647e+18,7.603722222222225e+17,1.0302326139053864e+18,8.186185174984488e+17,0.4427210313469872,0.502114948575381,135.27659574468086,6358.0
1,16,32,8.71e+19,8.7e+19,5.44375e+18,2.71875e+18,4.5611085206888033e+18,3.673676419814353e+18,0.4230051664753157,0.6454741379310345,360.1666666666667,17288.0
1,19,26,1.38e+20,1.362e+20,7.263157894736842e+18,5.238461538461538e+18,8.057961772212479e+18,8.637488814334377e+18,0.528604118993135,0.6770021461651416,6213.022222222222,279586.0
1,27,19,6.5456e+20,6.628004e+20,2.4242962962962964e+19,3.4884231578947367e+19,3.3555385262424564e+19,3.6728560498567016e+19,0.6720024534434215,0.5602311995555445,1111712.8260869565,51138790.0
1,15,27,1.35e+20,1.35e+20,9e+18,5e+18,0.0,4.472135954999579e+18,0.0,0.4444444444444445,23.88095238095238,1003.0
1,15,27,1.35e+20,1.35e+20,9e+18,5e+18,0.0,4.472135954999579e+18,0.0,0.4444444444444445,16.238095238095237,682.0
1,50,12,4.056e+19,3.8528e+19,8.112e+17,3.2106666666666665e+18,1.573657701026497e+18,3.501312388868558e+18,0.7279191321499014,0.533407161314138,1462787.435483871,90692821.0
1,16,25,4.5566e+19,4.55486e+19,2.847875e+18,1.821944e+18,2.4271607351749494e+18,2.5483243256822707e+18,0.4163713075538779,0.64828266950027,90.4390243902439,3708.0
1,3,24,1.3293e+19,1.3451787e+20,4.431e+18,5.60491125e+18,1.0189154364650025e+18,8.071151415477282e+18,0.11499786855237092,0.694946698035981,2278.3703703703704,61516.0
1,16,21,1.2716e+20,1.33999e+20,7.9475e+18,6.380904761904762e+18,6.616417554084688e+18,1.1405265287429487e+19,0.40994613085876064,0.7144104486920478,26546.72972972973,982229.0
1,18,16,1.44160001e+20,1.6e+20,8.008888944444445e+18,1e+19,2.831569664416628e+18,0.0,0.11111110455974849,0.0,1910558.1176470588,64958976.0
1,12,20,9.9e+19,9.9e+19,8.25e+18,4.95e+18,2.48746859276655e+18,4.3871972830042644e+18,0.08333333333333333,0.44696969696969696,19.15625,613.0
1,9,22,1.070001e+19,1.0702971e+19,1.18889e+18,4.864986818181818e+17,9.218860565408527e+17,2.0551738220237985e+18,0.39875289836177724,0.9279857349039728,2436347.4516129033,75526771.0
1,12,18,5.23e+20,5.465e+20,4.358333333333334e+19,3.036111111111111e+19,4.770824235799186e+19,8.994655288860831e+19,0.548597833014659,0.7938497509403273,10731.033333333333,321931.0
1,14,19,1.465564e+19,1.359595878787879e+19,1.0468314285714286e+18,7.155767783094099e+17,1.0554117426649668e+18,1.2530833806127862e+18,0.5403850375301639,0.7624311331389427,2544206.1818181816,83958804.0
1,12,17,1.2e+17,9.75e+16,1e+16,5735294117647059.0,0.0,5659759003024628.0,0.0,0.4856711915535445,7.172413793103448,208.0
1,17,12,4.987611533952457e+18,4.914484671935472e+18,2.9338891376190925e+17,4.09540389327956e+17,4.721845950645215e+17,5.929346177825958e+17,0.6988177461907379,0.6645662904453068,13914.896551724138,403532.0
1,12,15,1.3765e+19,3.37565e+19,1.1470833333333334e+18,2.2504333333333332e+18,1.49690655789049e+18,7.432092709833184e+18,0.6416696936675143,0.8953649420605413,152.03703703703704,4105.0
1,39,8,3.294864645e+19,2.4116853645e+19,8.448370884615384e+17,3.014606705625e+18,2.1338908050392543e+18,6.503140160941819e+18,0.8585701241866636,0.8199973004034457,1381801.914893617,64944690.0
1,18,16,1.108e+19,6.578e+18,6.155555555555556e+17,4.11125e+17,1.2289029535060132e+18,1.0810554955112157e+18,0.7882069795427196,0.8364054423837033,2626714.2647058824,89308285.0
1,6,6,2.501e+19,4.006e+19,4.1683333333333335e+18,6.676666666666667e+18,1.859663201287325e+18,4.699906618457671e+18,0.16626682660269226,0.33191878848394074,108.16666666666667,1298.0
1,7,8,6.01e+18,1.1001e+19,8.585714285714286e+17,1.375125e+18,6.369666636585034e+17,2.097386792981924e+18,0.3793677204658902,0.6907667484774112,11021.4,165321.0
1,6,9,4.5e+19,4.5e+19,7.5e+18,5e+18,3.3541019662496845e+18,4.472135954999579e+18,0.16666666666666666,0.4444444444444444,34.46666666666667,517.0
1,4,8,3.6e+19,4.4e+19,9e+18,5.5e+18,0.0,4.5e+18,0.0,0.4090909090909091,665.3333333333334,7984.0
1,10,4,1.6e+19,1.4e+19,1.6e+18,3.5e+18,2.9732137494637015e+18,2.5980762113533164e+18,0.775,0.39285714285714285,5364285.857142857,75100002.0
1,5,6,2.7e+19,2.7001e+19,5.4e+18,4.5001666666666665e+18,4.4090815370097203e+18,4.1930696956075305e+18,0.4,0.49995061911287236,29.0,319.0
1,5,5,3.4e+19,3.4e+19,6.8e+18,6.8e+18,7.440430095095309e+18,1.3430163066768773e+19,0.5647058823529412,0.7936470588235294,10068.0,100680.0
1,4,5,7.595e+18,6e+18,1.89875e+18,1.2e+18,1.8319401429904852e+18,0.0,0.4738314680710994,0.0,5285.777777777777,47572.0
1,7,2,5.1e+19,5.1e+19,7.285714285714286e+18,2.55e+19,4.299976269512117e+18,2.45e+19,0.2689075630252101,0.4803921568627451,27.22222222222222,245.0
1,6,2,6e+20,6e+20,1e+20,3e+20,5.773502691896258e+19,1e+20,0.2777777777777778,0.16666666666666666,1157512.0,9260096.0
1,7,1,1.5e+16,1.5e+16,2142857142857142.8,1.5e+16,1245399698154478.0,0.0,0.3238095238095238,0.0,13290.0,106320.0
1,10,2,4e+16,3.05e+16,4000000000000000.0,1.525e+16,9165151389911680.0,3750000000000000.0,0.85,0.12295081967213115,7841582.166666667,94098986.0
1,3,4,1.318818264800043e+18,1.255479141528026e+18,4.39606088266681e+17,3.138697853820065e+17,4.186933155555523e+16,3.110868235983506e+17,0.04489790452086259,0.5226847373850677,1391.5714285714287,9741.0
1,5,2,2.5e+17,1.65e+17,5e+16,8.25e+16,4.472135954999579e+16,3.25e+16,0.48,0.19696969696969696,39997.857142857145,279985.0
1,4,3,2.2222631163636365e+18,2.207376272181818e+18,5.555657790909091e+17,7.357920907272727e+17,4.4447845993390035e+17,4.4435708669838586e+17,0.40197880086720505,0.2846890339744002,35788.142857142855,250517.0
1,4,3,2e+17,1.35e+17,5e+16,4.5e+16,5e+16,5.671566509057851e+16,0.5,0.6172839506172839,248.42857142857142,1739.0
1,4,2,1.5900001e+18,1.59e+18,3.97500025e+17,7.95e+17,2.9070041301140576e+17,2.2e+17,0.40786156239864385,0.13836477987421383,42604.666666666664,255628.0
1,5,2,8.9e+16,2.04e+16,1.78e+16,1.02e+16,1.2936769303036982e+16,4800000000000000.0,0.4044943820224719,0.23529411764705882,2798652.285714286,19590566.0
1,5,3,7e+18,7e+18,1.4e+18,2.3333333333333335e+18,1.0198039027185569e+18,1.2472191289246472e+18,0.4,0.2857142857142857,205.375,1643.0
1,308,3,1.9417495e+20,1.148e+20,6.304381493506493e+17,3.826666666666666e+19,1.7784985092077087e+18,1.3356230339766114e+19,0.7863874778302332,0.17711962833914052,192275.53697749195,59797692.0
1,4,1,2.1e+16,2.1e+16,5250000000000000.0,2.1e+16,5261891294962297.0,0.0,0.5119047619047619,0.0,16675.6,83378.0
1,3,2,4e+16,1.75e+16,1.3333333333333334e+16,8750000000000000.0,1.2472191289246472e+16,4750000000000000.0,0.5,0.2714285714285714,147.6,738.0
1,3,1,7e+16,7e+16,2.3333333333333332e+16,7e+16,3.299831645537222e+16,0.0,0.6666666666666666,0.0,20832.0,83328.0
1,2,2,2e+18,2e+18,1e+18,1e+18,1e+18,9.8e+17,0.5,0.49,189.5,758.0
1,3,2,1.002e+19,5.01e+18,3.34e+18,2.505e+18,2.3617366491630684e+18,2.4549e+18,0.3333333333333333,0.49,663.4,3317.0
1,6,3,2.01e+18,2.01e+18,3.35e+17,6.7e+17,7.490827724624296e+17,9.333463130049853e+17,0.8333333333333334,0.66,6440571.111111111,57965140.0
1,2,1,2.002e+18,2.5e+18,1.001e+18,2.5e+18,0.0,0.0,0.0,0.0,8.666666666666666,26.0
1,27,5,3.4e+19,0.0,1.2592592592592591e+18,0.0,6.42098753563536e+18,0.0,0.9629629629629629,0,2752285.0,88073120.0
1,14,0,5.4869e+18,0.0,3.9192142857142854e+17,0,8.040771171069987e+17,0,0.8111671175240768,0,3072002.0714285714,43008029.0
1,3,0,2.6e+17,0.0,8.666666666666667e+16,0,5.792715732327589e+16,0,0.358974358974359,0,1978.0,5934.0
1,2,1,2e+17,2e+17,1e+17,2e+17,1e+17,0.0,0.5,0.0,54.333333333333336,163.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,1,1,2.51e+19,2.51e+19,2.51e+19,2.51e+19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,2.51e+19,2.51e+19,2.51e+19,2.51e+19,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,0.0,0.0,0.0,0,0.0,0,0,0,52.5,105.0
1,2,0,2e+16,0.0,1e+16,0,0.0,0,0.0,0,111.5,223.0
1,1,0,1000000000000000.0,0.0,1000000000000000.0,0,0.0,0,0.0,0,0.0,0.0
1,2,0,3.00001e+18,0.0,1.500005e+18,0,1.499995e+18,0,0.49999666667777776,0,23815211.5,47630423.0
1,2,0,6000000000000000.0,0.0,3000000000000000.0,0,2000000000000000.0,0,0.3333333333333333,0,0.0,0.0
1,3,1,1.5e+20,1.5e+20,5e+19,1.5e+20,7.0710678118654755e+19,0.0,0.6666666666666666,0.0,366.75,1467.0
1,2,1,1.5e+20,1.5e+20,7.5e+19,1.5e+20,7.5e+19,0.0,0.5,0.0,24366.0,73098.0
1,2,1,1.5e+20,1.5e+20,7.5e+19,1.5e+20,7.5e+19,0.0,0.5,0.0,224.0,672.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,71,236,5.399e+19,4.092e+19,7.604225352112676e+17,1.733898305084746e+17,2.469204374692222e+18,2.3305509310462445e+17,0.8811021341980387,0.5263899589111455,44236.61563517915,13580641.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,676966.75,2707867.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,1,0,9e+17,0.0,9e+17,0,0.0,0,0.0,0,0.0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,3,2,1.12e+20,1.12e+20,3.733333333333334e+19,5.6e+19,4.458200932613463e+19,5.5e+19,0.5952380952380952,0.49107142857142855,36058.8,180294.0
1,2,1,2.1e+20,2.1e+20,1.05e+20,2.1e+20,5e+18,0.0,0.023809523809523808,0.0,22445.0,67335.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,34,23,7.7681e+19,5.8682e+19,2.284735294117647e+18,2.551391304347826e+18,2.9255254762663987e+18,2.629103520655736e+18,0.5775365616696337,0.47792167956102377,452537.1403508772,25794617.0
1,74,59,3.39735661790011e+19,3.18834461790011e+19,4.59102245662177e+17,5.403973928644254e+17,6.243291518733655e+17,6.36287884294574e+17,0.6623352631251367,0.5935911691309015,321372.8872180451,42742594.0
1,14,28,1.4e+19,1.58e+19,1e+18,5.642857142857143e+17,0.0,5.938459911664722e+17,0.0,0.5207956600361664,110338.47619047618,4634216.0
1,3,2,2e+18,2e+18,6.666666666666666e+17,1e+18,9.428090415820635e+17,0.0,0.6666666666666666,0.0,137081.2,685406.0
1,3,1,2e+18,2e+18,6.666666666666666e+17,2e+18,9.428090415820635e+17,0.0,0.6666666666666666,0.0,23362.0,93448.0
1,1,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
1,21,20,2.6153091346912467e+20,3.458009134691247e+20,1.245385302233927e+19,1.7290045673456234e+19,2.4430915027773985e+19,3.0635417505080353e+19,0.7873240585383318,0.7592912770862286,27867.09756097561,1142551.0
1,16,32,1.662e+19,1.66059e+19,1.03875e+18,5.18934375e+17,1.613621218718941e+18,1.7867426165300385e+18,0.7127707581227437,0.8955282836220861,58998.333333333336,2831920.0
1,89,535,3.1423193749028676e+19,2.567315246532791e+19,3.5306959268571546e+17,4.79872008697718e+16,1.251375745239285e+18,8.090554349453016e+16,0.9167992688344786,0.7311826636069099,103306.54326923077,64463283.0
1,2,3,1.389e+17,1.3889e+17,6.945e+16,4.6296666666666664e+16,3.055e+16,5.5707534100474744e+16,0.2199424046076314,0.5813233494132047,101487.4,507437.0
1,209,407,5.0810000000011e+20,2.841e+20,2.4311004784694257e+18,6.980343980343981e+17,1.1792213765341485e+19,1.4758720803717722e+18,0.6063908227382835,0.7189164971875924,113079.5275974026,69656989.0
1,85,24,2.6024492e+19,1.8306603817502497e+19,3.0617049411764704e+17,7.62775159062604e+17,1.0300181394472579e+18,2.340146530548221e+18,0.8105801330621668,0.858803439276523,261587.12844036697,28512997.0
1,11,9,7.675e+18,5.11e+18,6.977272727272727e+17,5.677777777777778e+17,9.504385677540554e+17,8.053126070425873e+17,0.6679301154871188,0.6705805609915199,14680.95,293619.0
1,13,4,4.96e+18,4.689e+18,3.815384615384616e+17,1.17225e+18,5.85738799148906e+17,1.1246955977063305e+18,0.7217741935483871,0.5146619748347195,35364.529411764706,601197.0
1,1,0,5e+16,0.0,5e+16,0,0.0,0,0.0,0,0.0,0.0
1,5,3,1.49e+18,1.2526666666666665e+18,2.98e+17,4.175555555555555e+17,1.0590561835898981e+17,1.4234057575467666e+17,0.1825503355704698,0.18485009756962928,768.5,6148.0
1,115,66,8.173930330037074e+19,7.90832002e+19,7.107765504380064e+17,1.198230306060606e+18,8.866667961755759e+17,1.603236026878242e+18,0.6042659493306263,0.5556145370770792,252961.27071823203,45785990.0
1,5,1,2.75e+18,1e+18,5.5e+17,1e+18,4.58257569495584e+17,0.0,0.43636363636363634,0.0,2882712.1666666665,17296273.0
1,9,5,1e+19,5e+18,1.1111111111111112e+18,1e+18,2.0786985482077453e+18,1.5165750888103101e+18,0.7777777777777778,0.68,5256560.5,73591847.0
1,7,5,3.133e+19,2.823e+19,4.4757142857142856e+18,5.646e+18,4.803938435262875e+18,6.26438057592289e+18,0.5471706716519995,0.5596882748848743,85150.91666666667,1021811.0
1,21,11,3.8e+19,1.01e+19,1.8095238095238095e+18,9.181818181818182e+17,6.366721871755532e+18,1.4313491295202972e+18,0.9072681704260651,0.7146714671467147,2708326.78125,86666457.0
1,59,26,7.4518725e+20,6.641726925e+20,1.2630292372881357e+19,2.554510355769231e+19,1.998859081588967e+19,2.691951960764054e+19,0.7151147285009261,0.5498295574628037,1294565.7647058824,110038090.0
1,64,46,6.11e+19,5.888e+19,9.546875e+17,1.28e+18,2.0458012450810074e+17,2.1221400191480214e+17,0.045289484451718494,0.03719429347826087,284.08181818181816,31249.0
1,40,23,4.2e+17,3.04e+17,1.05e+16,1.3217391304347826e+16,9205976319760984.0,4995271866554807.0,0.4642857142857143,0.16819221967963388,4639.841269841269,292310.0
1,8,13,1.88e+19,1.8655e+19,2.35e+18,1.435e+18,2.240535650240808e+18,2.2641282920976282e+18,0.488031914893617,0.6566191781951631,910.0,19110.0
1,41,11,2.32e+19,1.908e+19,5.6585365853658534e+17,1.7345454545454546e+18,6.342307636113257e+17,1.3938590227159314e+18,0.5296467619848613,0.35925290642271773,1631200.75,84822439.0
1,6,4,4.81e+17,4.28815e+17,8.016666666666667e+16,1.0720375e+17,5.972273901585187e+16,3.814639782715401e+16,0.4002079002079002,0.19614810582652192,3201.8,32018.0
1,8,0,2e+16,0.0,2500000000000000.0,0,4330127018922193.5,0,0.75,0,78412.25,627298.0
1,1,0,1e+17,0.0,1e+17,0,0.0,0,0.0,0,0.0,0.0
1,1,0,1e+17,0.0,1e+17,0,0.0,0,0.0,0,0.0,0.0
1,2,0,0.0,0.0,0.0,0,0.0,0,0,0,17779.5,35559.0
1,1,0,5e+17,0.0,5e+17,0,0.0,0,0.0,0,0.0,0.0
1,4,1,4.5e+16,1.96e+16,1.125e+16,1.96e+16,8926785535678562.0,0.0,0.4166666666666667,0.0,716.8,3584.0
1,9,4,6.1e+18,5.26e+18,6.777777777777778e+17,1.315e+18,4.565030796483142e+17,7.703732861412056e+17,0.3205828779599271,0.3051330798479088,13440.692307692309,174729.0
