address,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime,ponzi
0x7011f3edc7fa43c81440f9f43a6458174113b162,108,2,8.17E+19,1.75E+16,7.57E+17,8.75E+15,8.96E+17,4.75E+15,0.578617,0.271429,414359.1909,45579511,1
0x7d56485e026d5d3881f778e99969d2b1f90c50af,6,13,1.2E+17,1.87E+19,2E+16,1.44E+18,1.53E+16,2.26E+18,0.361111,0.656619,138306.6316,2627826,1
0x4865e85c72a27ca6c362da75ba6707c07464b953,3,2,2.75E+18,2E+18,9.17E+17,1E+18,1.18E+17,9.8E+17,0.060606,0.49,785722,3928610,1
0xba6284ca128d72b25f1353fadd06aa145d9095af,15,2,1.11E+19,2.01E+18,7.39E+17,1.01E+18,1.31E+18,9.85E+17,0.745848,0.49,5253428.529,89308285,1
0xfd2487cc0e5dce97f08be1bc8ef1dce8d5988b4d,4,213,3.13E+19,4.01E+19,7.83E+18,1.88E+17,3.75E+18,1.36E+18,0.207549,0.653251,18567.35023,4029115,1
0xa9e4e3b1da2462752aea980698c335e70e9ab26c,10,1,1.06E+18,2E+17,1.06E+17,2E+17,8.28E+16,0,0.422642,0,21336.18182,234698,1
0xca7c390f8f843a8c3036841fde755e5d0acb97da,6,1,2.5E+19,1.5E+20,4.17E+18,1.5E+20,1.86E+18,0,0.166267,0,2840450.714,19883155,1
0xe82719202e5965cf5d9b6673b7503a3b92de20be,32,1,7.77E+19,1.5E+20,2.43E+18,1.5E+20,2.96E+18,0,0.551133,0,630718.1818,20813700,1
0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,6,1,3.8E+19,1.5E+20,6.33E+18,1.5E+20,1.06E+19,0,0.675439,0,3440809.714,24085668,1
0x3325439082ff8ba7371dfdaa1af297bbfcac21b2,5,10,4.5E+19,1.91E+19,9E+18,1.91E+18,0,1.34E+18,0,0.295178,272093.4,4081401,1
0x446d1696a5527018453cda3d67aa4c2cd189b9f6,4,2,1.6E+19,1.12E+20,4E+18,5.6E+19,3.54E+18,5.5E+19,0.4375,0.491071,3530193,21181158,1
0xfeeb8a968f0d7fd58e29fbfc525051f50ee2fedc,17,1,4.99E+18,2.1E+20,2.93E+17,2.1E+20,4.72E+17,0,0.698818,0,1148276.722,20668981,1
0x7fd6d3537b39842cfe16e813851296d4745b51a7,27,4,9.96E+19,4.29E+17,3.69E+18,1.07E+17,2.28E+18,3.81E+16,0.329349,0.196148,291128.8387,9024994,1
0x294308484f47ff5a833a284ac6949eb02728fbe4,4,1,3.4E+19,1.96E+16,8.5E+18,1.96E+16,7.4E+18,0,0.455882,0,485080,2425400,1
0xba69e7c96e9541863f009e713caf26d4ad2241a0,20,4,2.23E+19,5.26E+18,1.12E+18,1.32E+18,9.59E+17,7.7E+17,0.461211,0.305133,133101.125,3194427,1
0xe19e5f100d6a31169b5dca265c9285059c41d4f6,4,3,7.6E+18,1.99E+18,1.9E+18,6.64E+17,1.83E+18,2.06E+17,0.473831,0.159049,554466.5714,3881266,1
0x3e84512f277a5081b9209831c51bce665035d9db,5,1,6E+20,3.83E+17,1.2E+20,3.83E+17,4E+19,0,0.133333,0,1543349.333,9260096,1
0xdc84953d7c6448e498eb3c33ab0f815da5d13999,4,1,2.22E+18,1.13E+19,5.56E+17,1.13E+19,4.44E+17,0,0.401979,0,683454.4,3417272,1
0x80d9c4f6209044de069c545f68644419b520a02f,2,2,1E+19,2.02E+16,5E+18,1.01E+16,0,5E+14,0,0.024752,825195.25,3300781,1
0x316201f586706aaa2795bc2a3f0bad2379c363e4,2,1,2E+17,9.5E+15,1E+17,9.5E+15,0,0,0,0,1012823.667,3038471,1
0x9d5bdaa9d82782c03402dd5c675ae3e45b3102e2,4,1,1.59E+18,1.9E+16,3.98E+17,1.9E+16,2.91E+17,0,0.407862,0,1016316,5081580,1
0xa39fcb48adf288f143459d57a1a0756718c919ae,12,1,1.08E+19,2.5E+18,9.03E+17,2.5E+18,1.32E+18,0,0.608856,0,218379.6154,2838935,1
0x02b2101903eb6a51518e63e84b785180859fda9d,4,4,8.9E+16,4.69E+18,2.23E+16,1.17E+18,1.05E+16,1.12E+18,0.255618,0.514662,3984927.5,31879420,1
0x16a4ff536001405f2b0d7ddafc79f6a10d024640,4,23,3.59E+17,5.87E+19,8.99E+16,2.55E+18,9.39E+16,2.63E+18,0.541364,0.477922,1331084.407,35939279,1
0xee462a6717f17c57c826f1ad9b4d3813495296c9,4,2,7E+18,7.92E+16,1.75E+18,3.96E+16,8.29E+17,1.97E+16,0.25,0.248133,676845.6667,4061074,1
0x1afd952269873fe009c7bdff5f07fd91605a7227,2,1,4E+16,9.09E+16,2E+16,9.09E+16,1E+16,0,0.25,0,4569512.667,13708538,1
0x428da5ff72d8be0efaa85336b6c6a9fc9e0f73fe,1,168,2E+18,5.3E+21,2E+18,3.16E+19,0,5.83E+19,0,0.760233,354836.8757,59967432,1
0xbe46324018124b2d604c2f3eae91d3de9b388b09,1,197,2.01E+18,3.13E+20,2.01E+18,1.59E+18,0,2.55E+18,0,0.746148,373812.3788,74014851,1
0xeacba276ff97853102c3d540b663c08ec7fbe0ed,2,20,2E+18,4.8E+19,1E+18,2.4E+18,0,3.85E+18,0,0.621717,104856.5909,2306845,1
0xfe3672eff595cfd36ed05aaf4622d1aec3b5e852,25,1257,2.21E+19,1.33E+21,8.84E+17,1.06E+18,3.14E+17,8.07E+18,0.115653,0.941914,47466.78471,60852418,1
0xd12d8f8dfa54f1578b2177f99b2e282367b66b13,1,28,2E+17,1.58E+19,2E+17,5.64E+17,0,5.94E+17,0,0.520796,233302.7586,6765780,1
0x09515cb5e3acaef239ab83d78b2f3e3764fcab9b,2,30,3E+18,2.28E+19,1.5E+18,7.6E+17,1.5E+18,8.19E+17,0.499997,0.502115,1513250.813,48424026,1
0xbb9854bfd082c48b4d426ac6a2a152b01326f46f,1,9,1.5E+20,7.63E+17,1.5E+20,8.48E+16,0,1.09E+17,0,0.569099,2046464.8,20464648,1
0x55d035ba1f4ae932cf98125b93d830d9858cd39f,51,66,7.45E+20,8.95E+20,1.46E+19,1.36E+19,2.08E+19,2.08E+19,0.670427,0.695255,940496.4957,110038090,1
0x43e49c79172a1be3ebb4240da727c0da0fa5d233,1,8,1.5E+20,1.79E+19,1.5E+20,2.23E+18,0,1.73E+18,0,0.432219,2275604.333,20480439,1
0x51170b18bca7896b49c52dcc18e66e5c921e100f,45,11,8.24E+20,3.85E+19,1.83E+19,3.5E+18,1.82E+19,3.51E+18,0.547089,0.49099,81745.01786,4577721,1
0x2a53f42ad8bba138c21b50a4e5711f18381a61e9,2,7,1.12E+20,2E+18,5.6E+19,2.86E+17,4.4E+19,3.3E+17,0.392857,0.575893,1476640.778,13289767,1
0x49f053b866c33185fa1151e71fc80d5fe6b08a92,2,360,2.1E+20,7.88E+20,1.05E+20,2.19E+18,5E+18,2.68E+18,0.02381,0.605936,57007.08011,20636563,1
0x5a437d94843541d5cb83221a4a4b253de30b97b7,21,19,2.1E+20,3.46E+20,1E+19,1.82E+19,0,3.12E+19,0,0.746622,126247.1,5049884,1
0xc357a046c5c13bb4e6d918a208b8b4a0ab2f2efd,2,339,7.92E+16,9.17E+20,3.96E+16,2.7E+18,1.97E+16,4.9E+18,0.248133,0.219339,195684.3021,66728347,1
0xf1c1648f6f0edbcf7d898441b88e489cfaace11d,153,3,3.07E+21,1.39E+17,2.01E+19,4.63E+16,2.69E+19,5.57E+16,0.643463,0.581323,299533,46727148,1
0xcaaca224e35d0a1fa3304a3c4ec8beb5f28a99aa,866,109,8.92E+20,1.84E+18,1.03E+18,1.69E+16,5.85E+17,3.33E+16,0.047001,0.768754,68456.82154,66745401,1
0x143e8bd26d95b230680c25300f93ef56f86eccac,14,4,5.37E+19,4.69E+18,3.83E+18,1.17E+18,1.28E+19,1.12E+18,0.89498,0.514662,19952.83333,359151,1
0x1ff3f56609d0771abb49566600febade0e708beb,3,3,2.7E+19,1.25E+18,9E+18,4.18E+17,0,1.42E+17,0,0.18485,367910.1667,2207461,1
0x41f2d5040726c5328f8366f17041ec012ac8f338,431,12,5.52E+21,9.37E+18,1.28E+19,7.8E+17,3.03E+19,6.83E+17,0.76974,0.483405,148891.7156,65959030,1
0x89c2352cb600df56fe4bfb5882caadef3e96213f,14,1,1.4E+19,3.72E+16,1E+18,3.72E+16,0,0,0,0,3034667.067,45520006,1
0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1,17,1,2.03E+19,3.39E+17,1.2E+18,3.39E+17,1.03E+18,0,0.442721,0,26789.88889,482218,1
